               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093817,            0.034523,            0.039543,             0.25528,             0.31034,             0.18885,            0.068503,            0.067345,            0.027815,            0.039001,              0.0856,              0.0016,              0.0016
                   1,            0.062634,            0.031823,            0.035723,             0.21717,              0.4162,             0.22681,            0.075453,            0.056963,            0.020924,            0.034859,            0.070289,           0.0032891,           0.0032891
                   2,            0.053663,            0.023032,            0.034026,             0.40989,              0.4607,             0.41218,              0.1306,            0.060799,            0.013581,            0.030219,            0.054967,            0.004967,            0.004967
                   3,            0.052781,            0.018081,            0.028299,              0.5199,             0.56713,             0.59832,             0.15433,            0.062766,            0.010908,            0.020361,            0.039634,           0.0066337,           0.0066337
                   4,             0.05247,            0.014717,            0.018631,             0.47172,             0.69651,             0.57493,             0.24173,            0.058693,           0.0085115,            0.011599,            0.024289,           0.0082891,           0.0082891
                   5,                0.05,            0.012581,            0.011868,              0.5939,             0.74058,             0.73442,             0.37936,            0.042958,           0.0078714,           0.0068636,            0.009835,            0.009835,            0.009835
                   6,            0.045453,            0.010809,           0.0081211,              0.7865,             0.89432,             0.87657,              0.4719,            0.040877,           0.0082257,           0.0067429,            0.009835,            0.009835,            0.009835
                   7,            0.039651,            0.010589,           0.0066905,             0.82507,              0.9238,             0.86641,             0.51472,            0.035498,           0.0070469,           0.0049418,            0.009802,            0.009802,            0.009802
                   8,            0.035939,            0.010336,           0.0056363,             0.89715,             0.95973,             0.95054,             0.57226,            0.031971,           0.0069222,           0.0043147,            0.009769,            0.009769,            0.009769
                   9,            0.033426,            0.009363,           0.0047171,             0.86315,              0.9664,              0.8935,             0.61867,            0.027786,           0.0063434,           0.0045273,            0.009736,            0.009736,            0.009736
                  10,            0.032309,           0.0090013,           0.0050649,             0.98014,             0.97486,             0.97547,             0.65373,            0.027372,           0.0059741,           0.0043676,            0.009703,            0.009703,            0.009703
                  11,            0.030507,           0.0089122,           0.0047255,             0.95251,             0.95861,             0.96383,             0.62013,            0.024486,           0.0061238,           0.0052388,             0.00967,             0.00967,             0.00967
                  12,            0.028574,           0.0085247,           0.0044161,             0.98264,             0.98621,             0.97618,             0.70668,            0.021922,           0.0054913,           0.0041505,            0.009637,            0.009637,            0.009637
                  13,            0.029408,            0.008699,           0.0039036,             0.96154,             0.97399,             0.96781,             0.68803,            0.024133,           0.0056396,           0.0042615,            0.009604,            0.009604,            0.009604
                  14,            0.027575,           0.0083625,           0.0035369,             0.97294,             0.98453,              0.9766,             0.71363,            0.021694,           0.0053561,           0.0037663,            0.009571,            0.009571,            0.009571
                  15,            0.026217,           0.0081315,           0.0035435,             0.97449,             0.97318,             0.97511,             0.74726,            0.022833,           0.0056264,           0.0043324,            0.009538,            0.009538,            0.009538
                  16,            0.026123,           0.0078631,           0.0035959,             0.97749,             0.98744,             0.97664,             0.76916,             0.02052,           0.0054557,           0.0037913,            0.009505,            0.009505,            0.009505
                  17,            0.025287,           0.0080338,            0.003165,              0.9629,             0.97212,             0.97448,             0.77072,            0.019011,           0.0050147,            0.006082,            0.009472,            0.009472,            0.009472
                  18,            0.025446,           0.0079872,           0.0036261,             0.97567,             0.97189,               0.977,             0.67517,            0.024551,           0.0056133,           0.0037146,            0.009439,            0.009439,            0.009439
                  19,            0.024158,           0.0076077,           0.0032962,             0.96974,             0.98164,             0.97978,             0.79446,            0.019387,            0.005214,           0.0037292,            0.009406,            0.009406,            0.009406
                  20,            0.025041,           0.0076363,           0.0029606,             0.98278,             0.98744,             0.97827,             0.77883,            0.018622,           0.0049078,           0.0035631,            0.009373,            0.009373,            0.009373
