               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08667,             0.03264,            0.056922,             0.11525,             0.25324,              0.1042,            0.033191,            0.058261,            0.026222,            0.044287,            0.070857,           0.0032381,           0.0032381
                   1,            0.056693,            0.028644,            0.037629,             0.28151,             0.65531,             0.35877,             0.19697,            0.043846,            0.016692,            0.037469,            0.040835,           0.0065497,           0.0065497
                   2,            0.055976,             0.02008,            0.027183,             0.36595,             0.65555,             0.45856,              0.2659,            0.059971,            0.010535,            0.025906,            0.010792,           0.0098394,           0.0098394
                   3,            0.049394,            0.015401,            0.018542,             0.66975,             0.90728,              0.7943,             0.35905,            0.042251,            0.010812,            0.016032,            0.009901,            0.009901,            0.009901
                   4,            0.042554,            0.014176,             0.01188,             0.78942,             0.93089,             0.93011,             0.55405,            0.030001,           0.0080323,           0.0080246,            0.009901,            0.009901,            0.009901
                   5,            0.038949,            0.012941,           0.0081775,             0.97041,              0.9701,             0.97203,             0.67065,            0.022189,            0.007513,           0.0078415,            0.009868,            0.009868,            0.009868
                   6,            0.035544,            0.012669,           0.0065936,             0.95063,             0.94381,             0.96533,             0.68361,             0.02403,           0.0083647,           0.0078011,            0.009835,            0.009835,            0.009835
                   7,            0.033753,            0.012004,           0.0062483,             0.96288,              0.9737,             0.97728,             0.70993,            0.024807,           0.0073829,           0.0063492,            0.009802,            0.009802,            0.009802
                   8,            0.032522,            0.011907,           0.0053276,             0.95706,             0.97651,             0.97402,             0.72102,             0.02054,           0.0066442,           0.0060051,            0.009769,            0.009769,            0.009769
                   9,            0.031584,            0.011704,           0.0053508,             0.97308,             0.97939,             0.97627,             0.73719,              0.0199,           0.0069644,           0.0055721,            0.009736,            0.009736,            0.009736
                  10,            0.030426,            0.011413,           0.0049978,             0.94068,             0.93652,             0.94917,             0.59147,            0.027081,           0.0075974,           0.0057343,            0.009703,            0.009703,            0.009703
                  11,            0.029597,            0.011335,           0.0043631,             0.97934,               0.978,             0.97781,             0.76854,            0.017678,           0.0065989,           0.0053133,             0.00967,             0.00967,             0.00967
